"variable","estimate_unadjusted","p_value_unadjusted","estimate_adjusted","p_value_adjusted","delta","sign_flip","significance_change"
"age",0.107786227139533,0.000000000000000285486935024409,-0.000848279066190845,0.962323071580823,-0.108634506205724,TRUE,TRUE
"chas",-1.89277655080378,0.209434501535198,-0.825377552241016,0.485840574237181,1.06739899856277,FALSE,FALSE
"dis",-1.5509016824101,0.000000000000000000851994876692635,-1.01224673820839,0.0003725941753812,0.538654944201707,FALSE,FALSE
"indus",0.509776331104227,0.00000000000000000000145034893302777,-0.0583501106659809,0.485709373705532,-0.568126441770208,TRUE,TRUE
"lstat",0.548804782062398,0.00000000000000000000000000265427723147334,0.138800596776763,0.0673984405739814,-0.410004185285635,FALSE,TRUE
"medv",-0.363159922257603,0.000000000000000000117398708219436,-0.220056359039203,0.000260530205572314,0.1431035632184,FALSE,FALSE
"nox",31.2485312011229,0.00000000000000000000003751739260357,-9.95758654708924,0.0603698591805287,-41.2061177482121,TRUE,TRUE
"ptratio",1.15198278707059,0.000000000029429224473598,-0.304072757231233,0.103393200055704,-1.45605554430182,TRUE,TRUE
"rad",0.617910927327202,0.0000000000000000000000000000000000000000000000000000000269384439818602,0.612465311496799,0.00000000000858812317348225,-0.00544561583040271,FALSE,FALSE
"rm",-2.68405122411395,0.000000634670298468765,0.628910662178198,0.300738474769797,3.31296188629215,TRUE,TRUE
"tax",0.0297422528227653,0.0000000000000000000000000000000000000000000000235712683525715,-0.00377564652344236,0.465756543970457,-0.0335178993462077,TRUE,TRUE
"zn",-0.073934977404123,0.00000550647210767964,0.0457100386397557,0.0153440268015392,0.119645016043879,TRUE,FALSE
